GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T9,BinaryToDecimalTest,0,42,0,0,0,13,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T1,BellmanFordTest,11,297,0,0,6,19,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T1,BellmanFord,3,124,0,18,1,23,1,10,1,1
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T1,BellmanFord.Edge,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T8,BinaryToDecimal,0,33,0,4,0,8,0,4,0,2
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T8,BinaryToDecimalTest,0,26,0,0,0,6,0,2,0,2
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T7,BinaryToDecimal,0,33,0,4,0,8,0,4,0,2
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T7,BinaryToDecimalTest,5,37,0,0,2,11,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T2,BellmanFord.Edge,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T2,BellmanFord,3,124,0,18,1,23,1,10,1,1
JaCoCo Coverage Report,ChatGPT.BellmanFord.AIGenerated.T2,BellmanFordTest,0,223,0,0,0,11,0,5,0,5
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T6,BinaryToDecimalTest,5,37,0,0,2,11,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T6,BinaryToDecimal,0,33,0,4,0,8,0,4,0,2
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T5,BinaryToDecimal,0,33,0,4,0,8,0,4,0,2
JaCoCo Coverage Report,ChatGPT.BinaryToDecimal.BookExampleCode.T5,BinaryToDecimalTest,0,57,0,0,0,19,0,4,0,4
